x,y,layer1,layer2,voltage1,voltage2,current
795.753,267.239,LAYER_2,BOTTOM_LAYER,0.036573,0.036573,-6.37213e-06
874.493,267.239,TOP_LAYER,LAYER_1,0.0365737,0.0365737,0.00017803
874.493,267.239,LAYER_1,LAYER_2,0.0365737,0.0365737,1.26531e-05
874.493,267.239,LAYER_2,BOTTOM_LAYER,0.0365737,0.0365737,1.26531e-05
953.234,267.239,TOP_LAYER,LAYER_1,0.0365746,0.0365746,0.00040477
953.234,267.239,LAYER_1,LAYER_2,0.0365746,0.0365745,0.000126941
953.234,267.239,LAYER_2,BOTTOM_LAYER,0.0365745,0.0365745,0.000126941
1031.97,267.239,TOP_LAYER,LAYER_1,0.0365758,0.0365756,0.000977877
1031.97,267.239,LAYER_1,LAYER_2,0.0365756,0.0365754,0.000343588
1031.97,267.239,LAYER_2,BOTTOM_LAYER,0.0365754,0.0365753,0.000343588
1110.71,267.239,TOP_LAYER,LAYER_1,0.0365768,0.0365766,0.00102773
1110.71,267.239,LAYER_1,LAYER_2,0.0365766,0.0365764,0.000402504
1110.71,267.239,LAYER_2,BOTTOM_LAYER,0.0365764,0.0365763,0.000402504
1189.45,267.239,TOP_LAYER,LAYER_1,0.0365778,0.0365777,0.000919599
1189.45,267.239,LAYER_1,LAYER_2,0.0365777,0.0365774,0.000384476
1189.45,267.239,LAYER_2,BOTTOM_LAYER,0.0365774,0.0365773,0.000384476
1268.19,267.239,TOP_LAYER,LAYER_1,0.0365788,0.0365787,0.000762479
1268.19,267.239,LAYER_1,LAYER_2,0.0365787,0.0365785,0.000321141
1268.19,267.239,LAYER_2,BOTTOM_LAYER,0.0365785,0.0365784,0.000321141
1287.88,798.735,TOP_LAYER,LAYER_1,48.0366,48.0366,-1.6291e-10
1287.88,798.735,LAYER_1,LAYER_2,48.0366,48.0366,-1.77558e-10
1287.88,798.735,LAYER_2,BOTTOM_LAYER,48.0366,48.0366,-1.6291e-10
1346.93,267.239,TOP_LAYER,LAYER_1,0.0365798,0.0365798,0.000206291
1346.93,267.239,LAYER_1,LAYER_2,0.0365798,0.0365797,0.000132021
1346.93,267.239,LAYER_2,BOTTOM_LAYER,0.0365797,0.0365797,0.000132021
1386.3,306.609,TOP_LAYER,LAYER_1,0.0365801,0.0365801,0.00012622
1386.3,306.609,LAYER_1,LAYER_2,0.0365801,0.03658,0.000147414
1386.3,306.609,LAYER_2,BOTTOM_LAYER,0.03658,0.0365799,0.000147414
1386.3,385.349,TOP_LAYER,LAYER_1,0.0365794,0.0365793,0.000667204
1386.3,385.349,LAYER_1,LAYER_2,0.0365793,0.0365791,0.000408434
1386.3,385.349,LAYER_2,BOTTOM_LAYER,0.0365791,0.036579,0.000408434
1386.3,464.089,TOP_LAYER,LAYER_1,0.0365785,0.0365784,0.00103324
1386.3,464.089,LAYER_1,LAYER_2,0.0365784,0.0365779,0.00061283
1386.3,464.089,LAYER_2,BOTTOM_LAYER,0.0365779,0.0365779,0.00061283
1386.3,542.829,TOP_LAYER,LAYER_1,0.0365774,0.0365772,0.00135343
1386.3,542.829,LAYER_1,LAYER_2,0.0365772,0.0365767,0.000759572
1386.3,542.829,LAYER_2,BOTTOM_LAYER,0.0365767,0.0365766,0.000759572
1386.3,621.57,TOP_LAYER,LAYER_1,0.0365761,0.0365758,0.00179435
1386.3,621.57,LAYER_1,LAYER_2,0.0365758,0.0365752,0.000866905
1386.3,621.57,LAYER_2,BOTTOM_LAYER,0.0365752,0.0365751,0.000866905
1386.3,700.31,TOP_LAYER,LAYER_1,0.0365746,0.0365741,0.00340585
1386.3,700.31,LAYER_1,LAYER_2,0.0365741,0.0365735,0.000980103
1386.3,700.31,LAYER_2,BOTTOM_LAYER,0.0365735,0.0365733,0.000980103
1465.04,700.31,TOP_LAYER,LAYER_1,0.0365751,0.0365748,0.00225866
1465.04,700.31,LAYER_1,LAYER_2,0.0365748,0.036574,0.00114604
1465.04,700.31,LAYER_2,BOTTOM_LAYER,0.036574,0.0365738,0.00114604
1543.78,700.31,TOP_LAYER,LAYER_1,0.0365764,0.036576,0.00260496
1543.78,700.31,LAYER_1,LAYER_2,0.036576,0.0365748,0.00176106
1543.78,700.31,LAYER_2,BOTTOM_LAYER,0.0365748,0.0365745,0.00176106
1622.52,700.31,TOP_LAYER,LAYER_1,0.0365779,0.0365775,0.00255322
1622.52,700.31,LAYER_1,LAYER_2,0.0365775,0.0365757,0.0025466
1622.52,700.31,LAYER_2,BOTTOM_LAYER,0.0365757,0.0365754,0.0025466
1701.27,700.31,TOP_LAYER,LAYER_1,0.0365797,0.0365794,0.00221198
1701.27,700.31,LAYER_1,LAYER_2,0.0365794,0.0365768,0.00365685
1701.27,700.31,LAYER_2,BOTTOM_LAYER,0.0365768,0.0365763,0.00365685
1737.85,407.818,TOP_LAYER,LAYER_1,0.0365845,0.0365853,-0.00403495
1737.85,407.818,LAYER_1,LAYER_2,0.0365853,0.0365857,-0.000374594
1737.85,407.818,LAYER_2,BOTTOM_LAYER,0.0365857,0.0365858,-0.000374594
1745.73,1113.35,TOP_LAYER,LAYER_1,0,0,-0
1745.73,1113.35,LAYER_1,LAYER_2,0,0,-0
1745.73,1113.35,LAYER_2,BOTTOM_LAYER,0,0,-0
1780.01,700.31,TOP_LAYER,LAYER_1,0.036582,0.0365818,0.00130817
1780.01,700.31,LAYER_1,LAYER_2,0.0365818,0.036578,0.0053066
1780.01,700.31,LAYER_2,BOTTOM_LAYER,0.036578,0.0365773,0.0053066
1799.69,1330.23,TOP_LAYER,LAYER_1,0.0364179,0.0364323,-0.110051
1799.69,1330.23,LAYER_1,LAYER_2,0.0364323,0.036486,-0.0744971
1799.69,1330.23,LAYER_2,BOTTOM_LAYER,0.036486,0.0364957,-0.0744971
1796.91,1372.39,TOP_LAYER,LAYER_1,0.0363548,0.0363934,-0.193783
1796.91,1372.39,LAYER_1,LAYER_2,0.0363934,0.0364799,-0.0788228
1796.91,1372.39,LAYER_2,BOTTOM_LAYER,0.0364799,0.0364956,-0.0788228
1839.06,1330.23,TOP_LAYER,LAYER_1,0.0364257,0.0364374,-0.0895251
1839.06,1330.23,LAYER_1,LAYER_2,0.0364374,0.0364868,-0.0686513
1839.06,1330.23,LAYER_2,BOTTOM_LAYER,0.0364868,0.0364958,-0.0686513
1836.28,1372.39,TOP_LAYER,LAYER_1,0.0363362,0.0363838,-0.239055
1836.28,1372.39,LAYER_1,LAYER_2,0.0363838,0.0364772,-0.0850956
1836.28,1372.39,LAYER_2,BOTTOM_LAYER,0.0364772,0.0364941,-0.0850956
1858.75,700.31,TOP_LAYER,LAYER_1,0.0365846,0.0365849,-0.00235237
1858.75,700.31,LAYER_1,LAYER_2,0.0365849,0.036579,0.00814787
1858.75,700.31,LAYER_2,BOTTOM_LAYER,0.036579,0.0365779,0.00814787
