Circuit: * C:\GitHub\MarkHarris\sim\LT3756-2_boost160w_seoul_with_pwm.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0215596 to 0.0215596
Heightened Def Con from 0.0215707 to 0.0215707
Heightened Def Con from 0.0216002 to 0.0216002
Heightened Def Con from 0.0216039 to 0.0216039
Heightened Def Con from 0.0216076 to 0.0216076
Heightened Def Con from 0.0216113 to 0.0216113
Heightened Def Con from 0.021615 to 0.021615
Heightened Def Con from 0.0216483 to 0.0216483
Heightened Def Con from 0.0216557 to 0.0216557
Heightened Def Con from 0.0216668 to 0.0216668
Heightened Def Con from 0.0217112 to 0.0217112
Heightened Def Con from 0.0217149 to 0.0217149
Heightened Def Con from 0.0217334 to 0.0217334
Heightened Def Con from 0.0220742 to 0.0220742
Heightened Def Con from 0.0220926 to 0.0220926
Heightened Def Con from 0.0222289 to 0.0222289
Heightened Def Con from 0.0222436 to 0.0222436
Heightened Def Con from 0.0225151 to 0.0225151
Heightened Def Con from 0.0225188 to 0.0225188
Heightened Def Con from 0.0225335 to 0.0225335
Heightened Def Con from 0.0225372 to 0.0225372
Heightened Def Con from 0.0225666 to 0.0225666
Heightened Def Con from 0.0226034 to 0.0226034
Heightened Def Con from 0.0226107 to 0.0226107
Heightened Def Con from 0.0226328 to 0.0226328
Heightened Def Con from 0.0226475 to 0.0226476
Heightened Def Con from 0.0226549 to 0.0226549
Heightened Def Con from 0.0226586 to 0.0226586
Heightened Def Con from 0.0226806 to 0.0226806
Heightened Def Con from 0.0226917 to 0.0226917
Heightened Def Con from 0.022699 to 0.022699
Heightened Def Con from 0.0227027 to 0.0227027
Heightened Def Con from 0.0227101 to 0.0227101
Heightened Def Con from 0.0227211 to 0.0227211
Heightened Def Con from 0.0227248 to 0.0227248
Heightened Def Con from 0.0227285 to 0.0227285
Heightened Def Con from 0.0227469 to 0.0227469
Heightened Def Con from 0.0227506 to 0.0227506
Heightened Def Con from 0.0230077 to 0.0230077
Heightened Def Con from 0.0230151 to 0.0230151
Heightened Def Con from 0.0230188 to 0.0230188
Heightened Def Con from 0.0230261 to 0.0230261
Heightened Def Con from 0.0230335 to 0.0230335
Heightened Def Con from 0.023063 to 0.023063
Heightened Def Con from 0.0230741 to 0.0230741
Heightened Def Con from 0.0230778 to 0.0230778
Heightened Def Con from 0.0230815 to 0.0230815
Heightened Def Con from 0.0230925 to 0.0230925
Heightened Def Con from 0.0230962 to 0.0230962
Heightened Def Con from 0.0231108 to 0.0231108
Heightened Def Con from 0.0231182 to 0.0231182
Heightened Def Con from 0.0231293 to 0.0231293
Heightened Def Con from 0.0231366 to 0.0231366
Heightened Def Con from 0.0231476 to 0.0231476
Heightened Def Con from 0.023155 to 0.023155
Heightened Def Con from 0.023166 to 0.023166
Heightened Def Con from 0.0232209 to 0.0232209
Heightened Def Con from 0.0232283 to 0.0232283
Heightened Def Con from 0.0235077 to 0.0235077
Heightened Def Con from 0.0235408 to 0.0235408
Heightened Def Con from 0.0235444 to 0.0235444
Heightened Def Con from 0.0235481 to 0.0235481
